filename,frames,fps,duration_s,mean_forward_mps,mean_lateral_mps,mean_yaw_rate_radps,mean_abs_yaw_rate_radps,net_yaw_deg,mean_planar_speed_mps,median_planar_speed_mps,active_fraction,root_height_min_m,root_height_max_m,source_family,source_intent,transition_clip,kinematic_category,semantic_consistency,selection_score,sha256
B10_-__Walk_turn_left_45_stageii.pkl,179,29.91643454038997,5.949906890130354,0.883283780539154,0.003804721855283554,-0.010964877670108212,0.6678093250682059,-0.3254583353794884,0.9067658220974372,1.0570234445146967,0.88268156424581,0.7087900351230059,0.8035043576741765,walk,turn_left,False,walk_straight,False,0.29693250757549094,618007b77b435e195788ed988e0c8bf59b18155b2d4905db8e7853fe40dfc5fc
B11_-__Walk_turn_left_135_stageii.pkl,194,29.884467265725288,6.458204467353951,0.9070597326975546,0.014965587070227796,0.3136033363432101,0.8874510736482153,115.37040648374087,0.9411846725092727,1.0446365946270215,0.9278350515463918,0.7111316458538721,0.7855098489862589,walk,turn_left,False,walk_turn_left,True,2.4441387741937146,bd56a6258082e38285dc8a477c4fb555c54262f5ac295186a92b17b3ff1730a1
B13_-__Walk_turn_right_90_stageii.pkl,168,29.910979228486646,5.583234126984127,0.9832655837903546,-0.05635891880968399,-0.25847260841173425,0.7891584848096768,-85.12566364340626,1.0106762216221257,1.1104106752552867,0.9464285714285714,0.7423308697184372,0.8161125047613422,walk,turn_right,False,walk_turn_right,True,2.402790955691608,8fc9c2b9640c08e41d3cb799cdfc8b6b48d43af839d15efebe5c0aabe6b9ea00
B14_-__Walk_turn_right_45_t2_stageii.pkl,174,30.0,5.766666666666667,1.0309056203462137,-0.001423663540764909,-0.16699080074351216,0.7897031415799205,-57.44850067130274,1.0555821160430137,1.2059839980993243,0.8908045977011494,0.7226258194614023,0.7967919341234271,walk,turn_right,False,walk_turn_right,True,2.2996376529543867,e4f086ccdd46154ba62b264705746094ad02e43c9a1915d8425bde1d12334c70
B15_-__Walk_turn_around_stageii.pkl,225,29.966703662597112,7.474962962962962,0.8437850726737451,-0.014284853954956003,0.38471178203862577,0.9597023771023224,165.0727453017952,0.901068763880106,1.0345423027920335,0.8622222222222222,0.7256682111501473,0.8015949498952253,walk,mixed_direction,False,walk_turn_left,,2.4001430703510276,5f083311083f493041d029c141f55eab567fe1ea2e69a9d91da8d18f1d1a9142
B22_-__side_step_left_stageii.pkl,74,30.0,2.433333333333333,-0.002869350995503147,0.22957961095732787,0.030144456632045763,0.11053866212684328,3.8994590282812225,0.24206397451483055,0.1346647401788057,0.4189189189189189,0.6993549788291779,0.7676091304959834,walk,side_left,False,walk_side_left,True,0.9167909931716087,2abfb0ed745ad44a29508ec56dfbdecfae407c115e9c883647042fa44c0f1841
B23_-__side_step_right_stageii.pkl,90,30.0,2.966666666666667,-0.020621136286660423,-0.17197359542849286,0.03063639758741082,0.0891733191182722,5.097474157358057,0.18644449182713782,0.031525677414287634,0.3,0.6764627382772141,0.7661019178246294,walk,side_right,False,walk_side_right,True,0.6831781658147923,31f78c049cdbdfb98f4d986d3e84febe7d93391a36f02f2e18111a1a6b5bdbe0
B4_-_Stand_to_Walk_backwards_stageii.pkl,138,29.945750452079565,4.57493961352657,-0.8182339071764637,0.01622443303130167,-0.013009024354943943,0.3749057938141582,-4.928256434578217,0.8322146635792381,0.9161907882263417,0.9057971014492754,0.7308454639400261,0.7986682711567945,walk,backward,True,walk_backward_transition,True,0.9525992766449409,6e709752a622d9aaf3354381a10949a1568f73b1b214640889f3a8fb902e7ea8
B9_-__Walk_turn_left_90_stageii.pkl,151,30.0,5.0,0.9096687057022996,-0.00915655315195805,0.26472832112934647,0.7738929060809951,77.4014750643289,0.9282623832446761,1.026287968444703,0.9668874172185431,0.7130712907451562,0.778207574366208,walk,turn_left,False,walk_turn_left,True,2.3873616759020093,daa5d55de091461927e644ad5c342ca59bdf8652f614421cef9ef9f7446b1ab0
C11_-_run_turn_left_90_stageii.pkl,84,29.82248520710059,2.7831349206349207,1.925255260184745,-0.014466749874300648,0.519748681505215,1.0995923768064362,90.12052811940791,1.9758742600998465,2.134955165402548,1.0,0.6294331255848199,0.7871827509859199,run,turn_left,False,run_turn_left,True,2.2432918963895863,b2515be076ef14a1bc93e8917dc1fbc249960807bc629dc0f1e13e00d3fb37a3
